,title,category,subcategory,price,about_price,old_price,offer
0,Креветки Королевские 26/30 очищенные,Морепродукты,Креветки,5290,Цена за 1 шт.,6100.0,1
1,Креветка Королевская 31/40 очищенная,Морепродукты,Креветки,5900,Цена за 1 шт.,,0
2,"Лангустины в панцире с головой, размер 21-30",Морепродукты,Креветки,6500,Цена за 1 кг.,,0
3,"Креветка Королевская  21/25, в панцире без головы",Морепродукты,Креветки,5500,Цена за 1 шт.,,0
4,Чука салат замороженный,Морепродукты,Креветки,2800,Цена за 1 шт.,,0
5,"Креветка Арктическая, 70/90,  Гренландия",Морепродукты,Креветки,6700,Цена за 1 кг.,,0
6,Креветка Ваннамей 16/20 в панцире б/г,Морепродукты,Креветки,5700,Цена за 1 шт.,,0
7,"Лангустины в Панцире с головой, размер 10-20",Морепродукты,Креветки,7200,Цена за 1 кг.,,0
8,"Креветка  Салатная 100/200, глазурь 40%",Морепродукты,Креветки,3900,Цена за 1 шт.,,0
9,"Креветка Северная, 90/120,  Гренландия",Морепродукты,Креветки,5400,Цена за 1 кг.,,0
10,"Лангустины в панцире без головы, размер 30 - 50, уп. 2 кг",Морепродукты,Креветки,6500,Цена за 1 кг.,,0
11,Креветка Тигровая 8/12  с головой,Морепродукты,Креветки,14500,Цена за 1 шт.,,0
12,"Креветка Королевская Блочная, размер 16/20",Морепродукты,Креветки,15500,Цена за 1 шт.,,0
13,"Креветка Королевская Блочная, в панцире 21/25",Морепродукты,Креветки,15000,Цена за 1 шт.,,0
14,Креветка Risma Премиум глазурь 7%,Морепродукты,Креветки,6000,Цена за 1 шт.,,0
15,Конечности Камчатского Краба 4L,Морепродукты,Крабы,24000,Цена за 1 кг.,,0
16,"Мясо краба, 1я фаланга, блок весом 1 -1,5 кг",Морепродукты,Крабы,35000,Цена за 1 кг.,,0
17,Мясо Краба Салатное (кусочками),Морепродукты,Крабы,17500,Цена за 1 кг.,,0
18,Краб Приморский в собственном соку,Морепродукты,Крабы,17500,Цена за 1 шт.,,0
19,Краб Натуральный в собственном соку,Морепродукты,Крабы,48000,Цена за 1 шт.,,0
20,Устрицы Gillardeau №2,Морепродукты,Устрицы,1790,Цена за 1 шт.,,0
21,Устрицы Ostra Regal  #2,Морепродукты,Устрицы,2100,Цена за 1 шт.,,0
22,Устрицы Fin De Claire №2 Marine,Морепродукты,Устрицы,1400,Цена за 1 шт.,,0
23,Устрицы Tarbouriech,Морепродукты,Устрицы,2400,Цена за 1 шт.,,0
24,Устрицы Fine de Claire Selection Marine #3,Морепродукты,Устрицы,1100,Цена за 1 шт.,,0
25,Устрицы La Belle №2,Морепродукты,Устрицы,1490,Цена за 1 шт.,,0
26,Устрицы №2 Царская,Морепродукты,Устрицы,1600,Цена за 1 шт.,,0
27,Гребешок Risma 10/20 глазурь 7%,Морепродукты,Гребешок,13500,Цена за 1 шт.,,0
28,"Гребешок 10/20, глазурь 25%",Морепродукты,Гребешок,6800,Цена за 1 шт.,,0
29,Гребешок Морской на раковине с икрой 12/16,Морепродукты,Гребешок,7600,Цена за 1 шт.,,0
30,Гребешок на Створке,Морепродукты,Гребешок,4500,Цена за 1 шт.,,0
31,Мидии в раковине 40-60 закрытые,Морепродукты,Мидии,4800,Цена за 1 шт.,,0
32,"Мидии на раковине Киви 40/60,  Новая Зеландия",Морепродукты,Мидии,5400,Цена за 1 шт.,,0
33,Мясо Мидий очищенное,Морепродукты,Мидии,3000,Цена за 1 шт.,,0
34,"Осьминог Бэби, размер 40/60",Морепродукты,Осьминоги,5500,Цена за 1 шт.,,0
35,"Осьминог Индонезия 0,5 - 1 кг",Морепродукты,Осьминоги,8900,Цена за 1 кг.,,0
36,"Каракатица, размер 40-60",Морепродукты,Осьминоги,4800,Цена за 1 шт.,,0
37,"Хвост Омара, замороженный",Морепродукты,Лобстеры,40000,Цена за 1 кг.,,0
38,Клешни Лобстера (Омара) замороженные,Морепродукты,Лобстеры,13500,Цена за 1 кг.,,0
39,Лобстер (Омар) размер 1000+ гр.,Морепродукты,Лобстеры,45000,Цена за 1 кг.,,0
40,Трубка Кальмара,Морепродукты,Кальмары,3700,Цена за 1 шт.,,0
41,Щупальца Кальмара свежемороженные,Морепродукты,Кальмары,2500,Цена за 1 шт.,,0
42,"Кольца Кальмара, уп. 1 кг",Морепродукты,Кальмары,4800,Цена за 1 шт.,,0
43,Кальмар Патагонский,Морепродукты,Кальмары,5500,Цена за 1 шт.,,0
44,Кальмар Командорский очищенный,Морепродукты,Кальмары,3600,Цена за 1 шт.,,0
45,Кальмар Тушка Неочищенный,Морепродукты,Кальмары,2500,Цена за 1 шт.,,0
46,Кальмар Командорский 600 гр,Морепродукты,Кальмары,2300,Цена за 1 шт.,,0
47,Трубка Кальмара Risma,Морепродукты,Кальмары,4800,Цена за 1 шт.,,0
48,Морской Коктейль Стандарт 1 кг,Морепродукты,Морской коктейль,3000,Цена за 1 шт.,,0
49,Вонголе Свежемороженные уп. 500 гр,Морепродукты,Вонголе,3500,Цена за 1 шт.,,0
50,Улитка Бургундская в металлическом поддоне,Морепродукты,Улитки по Бургундски,2990,Цена за 1 шт.,3500.0,1
51,Улитки по Бургундски (Escargot),Морепродукты,Улитки по Бургундски,10500,Цена за 1 шт.,,0
52,"Керамическая Сковорода ""Улиточница Эскарготьерка""",Морепродукты,Улитки по Бургундски,4500,Цена за 1 шт.,,0
53,"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг",Рыба,Охлажденная рыба,5990,Цена за 1 кг.,7700.0,1
54,Дорадо Охлажденная вес 300 - 400 гр/шт Греция,Рыба,Охлажденная рыба,5800,Цена за 1 кг.,,0
55,"Форель Атлантическая охлажденная 3-4 кг, Норвегия",Рыба,Охлажденная рыба,7700,Цена за 1 кг.,,0
56,Сибас Охлажденный весом 300 - 400 гр/шт,Рыба,Охлажденная рыба,5800,Цена за 1 кг.,,0
57,Дорадо Охлажденная 400 - 600 гр./шт,Рыба,Охлажденная рыба,5800,Цена за 1 кг.,,0
58,Сибас Охлажденный 400 - 600 гр/шт,Рыба,Охлажденная рыба,5800,Цена за 1 кг.,,0
59,"Семга Атлантическая охлажденная, 5-6 кг, Норвегия",Рыба,Охлажденная рыба,7700,Цена за 1 кг.,,0
60,"Сибас Охлажденный 600 - 800 гр., Греция",Рыба,Охлажденная рыба,7200,Цена за 1 кг.,,0
61,Форель Атлантическая Норвежская охлажденная 5 - 6 кг,Рыба,Охлажденная рыба,7700,Цена за 1 кг.,,0
62,"Дорадо Охлажденная вес 600-800 гр., Турция",Рыба,Охлажденная рыба,7200,Цена за 1 кг.,,0
63,Сибас охлажденный весом от 1000 до 1500 гр Турция,Рыба,Охлажденная рыба,8900,Цена за 1 кг.,,0
64,Снеппер Красный (Red Snapper),Рыба,Охлажденная рыба,9490,Цена за 1 кг.,,0
65,Барабулька Red Mullet (Султанка),Рыба,Охлажденная рыба,9490,Цена за 1 кг.,,0
66,Дорадо Охлажденная вес 1+ kg,Рыба,Охлажденная рыба,8900,Цена за 1 кг.,,0
67,"Барамунди / Barramundi  вес 0,5 - 2 кг/шт",Рыба,Охлажденная рыба,9490,Цена за 1 кг.,,0
68,"Группер Каменный /Spotted Grouper 0,5 - 2 кг/шт",Рыба,Охлажденная рыба,9490,Цена за 1 кг.,,0
69,"Рыба Попугай/ Parrot Fish 0,5 - 2 кг",Рыба,Охлажденная рыба,9490,Цена за 1 кг.,,0
70,Филе Рыбы Меч (Swordfish) охлажденное,Рыба,Охлажденная рыба,15990,Цена за 1 кг.,,0
71,"Император / Emperor Fish 0,5 - 2 кг/шт",Рыба,Охлажденная рыба,9490,Цена за 1 кг.,,0
72,Барракуда охлажденная 1-3 кг,Рыба,Охлажденная рыба,9490,Цена за 1 кг.,,0
73,Стейк из Семги нарезка Подкова,Рыба,Замороженная рыба,6990,Цена за 1 кг.,,0
74,Филе Судака уп. 1 кг,Рыба,Замороженная рыба,3500,Цена за 1 шт.,,0
75,Морской Окунь размер 500-600 гр,Рыба,Замороженная рыба,3000,Цена за 1 кг.,,0
76,Палтус вес 2-3 кг,Рыба,Замороженная рыба,5500,Цена за 1 кг.,,0
77,Скумбрия (макрель атлантическая) 400-600,Рыба,Замороженная рыба,2200,Цена за 1 кг.,,0
78,Тунец  Yellowfin филе уп. 350-550 гр.,Рыба,Замороженная рыба,10100,Цена за 1 кг.,,0
79,Форель Радужная Замороженая,Рыба,Замороженная рыба,3200,Цена за 1 кг.,,0
80,Треска Атлантическая  размер 3 кг+,Рыба,Замороженная рыба,3500,Цена за 1 кг.,,0
81,"Дорадо замороженная, весом 300-400 гр./шт",Рыба,Замороженная рыба,4200,Цена за 1 кг.,,0
82,Сибас замороженный 300-400 гр.,Рыба,Замороженная рыба,4200,Цена за 1 кг.,,0
83,"Филе минтая замороженное, уп. 600 гр",Рыба,Замороженная рыба,1490,Цена за 1 шт.,2800.0,1
84,"Угорь Копченый Унаги, филе для суши",Рыба,Замороженная рыба,10000,Цена за 1 кг.,,0
85,Мойва атлантическая,Рыба,Замороженная рыба,3100,Цена за 1 кг.,,0
86,Семга (Лосось) Замороженная размер 6-7 кг,Рыба,Замороженная рыба,4490,Цена за 1 кг.,,0
87,Стейк Подкова из Форели,Рыба,Замороженная рыба,7490,Цена за 1 кг.,,0
88,"Черная Треска, вылов Канада",Рыба,Замороженная рыба,22000,Цена за 1 кг.,,0
89,"Стейки из Осетра, уп. 800 грамм",Рыба,Замороженная рыба,9800,Цена за 1 кг.,,0
90,Хек Тушка Свежемороженная,Рыба,Замороженная рыба,1800,Цена за 1 кг.,,0
91,"Филе Окуня морского, 220 гр",Рыба,Замороженная рыба,3000,Цена за 1 кг.,,0
92,Сибас Замороженный 1+ крупный,Рыба,Замороженная рыба,7500,Цена за 1 кг.,,0
93,Стейк из Семги нарезка Подкова,Рыба,Филе из рыбы,6990,Цена за 1 кг.,,0
94,Лосось Малосольный филе на шкуре,Рыба,Филе из рыбы,9500,Цена за 1 кг.,,0
95,Филе Судака уп. 1 кг,Рыба,Филе из рыбы,3500,Цена за 1 шт.,,0
96,Филе из Охлажденной Семги (Лосося),Рыба,Филе из рыбы,14500,Цена за 1 кг.,,0
97,Филе на шкуре из Атлантической Семги,Рыба,Филе из рыбы,8900,Цена за 1 кг.,,0
98,"Филе из Охлажденной Океанической Форели  1,5 - 2 кг",Рыба,Филе из рыбы,14500,Цена за 1 кг.,,0
99,Слайсы из Малосольного Лосося,Рыба,Филе из рыбы,15990,Цена за 1 кг.,,0
100,Стейк Подкова из Норв. лосося размороженный  вес 300 - 400 гр,Рыба,Филе из рыбы,7800,Цена за 1 кг.,,0
101,Филе Трески заморозка,Рыба,Филе из рыбы,4500,Цена за 1 кг.,,0
102,Тунец  Yellowfin филе уп. 350-550 гр.,Рыба,Филе из рыбы,10100,Цена за 1 кг.,,0
103,Филе Лосося копченое цельное вакуум,Рыба,Филе из рыбы,11500,Цена за 1 кг.,,0
104,"Филе минтая замороженное, уп. 600 гр",Рыба,Филе из рыбы,1490,Цена за 1 шт.,2800.0,1
105,"Угорь Копченый Унаги, филе для суши",Рыба,Филе из рыбы,10000,Цена за 1 кг.,,0
106,Стейк Бабочка из Атлантической семги вес 150 гр.,Рыба,Филе из рыбы,8900,Цена за 1 кг.,,0
107,Стейк Подкова из Форели,Рыба,Филе из рыбы,7490,Цена за 1 кг.,,0
108,"Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.",Рыба,Филе из рыбы,16500,Цена за 1 кг.,,0
109,"Филе Тунца грейд А, без костей и шкуры",Рыба,Филе из рыбы,15500,Цена за 1 кг.,,0
110,"Стейки из Осетра, уп. 800 грамм",Рыба,Филе из рыбы,9800,Цена за 1 кг.,,0
111,Филе Сельди малосольное KingFisher,Рыба,Филе из рыбы,5000,Цена за 1 кг.,,0
112,"Филе Окуня морского, 220 гр",Рыба,Филе из рыбы,3000,Цена за 1 кг.,,0
113,Чилийский Сибас стейк-подкова,Рыба,Филе из рыбы,30000,Цена за 1 кг.,,0
114,Стейк-филе Swordfish (Рыба Меч),Рыба,Филе из рыбы,6800,Цена за 1 кг.,,0
115,Черная Треска стейк-подкова,Рыба,Филе из рыбы,31000,Цена за 1 кг.,,0
116,Стейк Акулы,Рыба,Филе из рыбы,14800,Цена за 1 кг.,,0
117,Лосось Малосольный филе на шкуре,Рыба,Рыба Копченая,9500,Цена за 1 кг.,,0
118,Лосось копченый по Шотландски Филе,Рыба,Рыба Копченая,10800,Цена за 1 кг.,,0
119,Слайсы из Малосольного Лосося,Рыба,Рыба Копченая,15990,Цена за 1 кг.,,0
120,Эсколар копченый филе на шкуре,Рыба,Рыба Копченая,7800,Цена за 1 кг.,,0
121,Слайсы Копченый Лосось (Семга)  Шотландского Копчения,Рыба,Рыба Копченая,10800,Цена за 1 кг.,,0
122,Тунец Копченый Куском (спинка),Рыба,Рыба Копченая,8490,Цена за 1 кг.,,0
123,Форель Копченая из Охлажденки Филе,Рыба,Рыба Копченая,10800,Цена за 1 кг.,,0
124,Филе Лосося копченое цельное вакуум,Рыба,Рыба Копченая,11500,Цена за 1 кг.,,0
125,"Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.",Рыба,Рыба Копченая,16500,Цена за 1 кг.,,0
126,Слайсы из копченого Эсколара,Рыба,Рыба Копченая,14800,Цена за 1 кг.,,0
127,Филе Осетра Холодного копчения,Рыба,Рыба Копченая,18500,Цена за 1 кг.,,0
128,Тунец Копченый нарезка Слайсами,Рыба,Рыба Копченая,12500,Цена за 1 кг.,,0
129,"Филе Тунца грейд А, без костей и шкуры",Рыба,Рифовая рыба,15500,Цена за 1 кг.,,0
130,Снеппер Красный (Red Snapper),Рыба,Рифовая рыба,9490,Цена за 1 кг.,,0
131,Барабулька Red Mullet (Султанка),Рыба,Рифовая рыба,9490,Цена за 1 кг.,,0
132,"Барамунди / Barramundi  вес 0,5 - 2 кг/шт",Рыба,Рифовая рыба,9490,Цена за 1 кг.,,0
